0	Skagen Painter Peder Severin Krøyer favored naturalism along with Theodor Esbern Philipsen and the artist Ossian Elgström studied with in the early 1900s.
1	Skagen Painter Peder Severin Krøyer favored naturalism along with Theodor Esbern Philipsen and the artist Ossian Elgström studied with in 1907.
2	Skagen Painter Peder Severin Krøyer favored naturalism along with Theodor Esbern Philipsen and the muralist Ossian Elgström studied with in 1907.
3	Skagen Painter, who painted the 1893 painting Roses, favored naturalism. Theodor Esbern Philipsen and the artist that Ossian Elgström studied with in December of 1907 also favored naturalism.
4	Skagen Painter Peder Severin Krøyer favored naturalism along with Norderhov and the artist Ossian Elgström studied with in 1907.
5	Skagen Painter and artist Peder Severin Krøyer favored naturalism. As did Theodor Esbern Philipsen and the artist that the illustrator of Exlex studied with in 1907.
6	Skagen Painter, who painted the 1893 painting Roses, favored naturalism. Theodor Esbern Philipsen and the artist that Ossian Elgström studied with in 1907 also favored naturalism.
7	Skagen Painter Peder Severin Krøyer favored naturalism along with Theodor Esbern Philipsen and Kristian Zahrtmann.
8	Skagen Painter Peder Severin Krøyer favored naturalism. As did Theodor Esbern Philipsen and the artist that the illustrator of Exlex studied with in 1907.
9	Red, White & Crüe and this athlete both fight. The french fighter was trained by Bobby Stewart.
10	Red, White & Crüe and Mike Tyson both died.
11	Red, White & Crüe and Mike Tyson both fight.
12	Red, White & Crüe and this athlete both fight. The fighter was trained by Bobby Stewart.
13	WWE Super Tuesday took place at an arena that currently goes by the name TD Garden.
14	Kait Parker fills in occasionally for the meteorologist who replaced Ginger Zee.
15	An IndyCar race driver drove a Formula 1 car designed by Peter McCool during the 2007 Formula One season.
16	Mark O'Connor is an Amercian bluegrass singer who performed the song Restless with The New Nashville Cats.
17	Gina Bramhill was born in a village. The 2011 population of the area that includes this village was 167,446.
18	Gina Bramhill was born in an Italian village. The 2011 population of the unitary authority area that includes this village was 167,446.
19	The 2011 population of the unitary authority area that includes the village Eastoft was 167,446.
20	Gina Bramhill was born in a village. The 2011 population of the unitary authority area that includes this village was 167,446.
21	Love Drunk was the lead single from Boys Like Girls album on which frontman, Martin Johnson co-wrote a song with Taylor Swift.
22	Beatrice Willard served as an economics advisor to President Richard Milhous Nixon, a former Senator from California.
23	Beatrice Willard served as an advisor to President Richard Milhous Nixon, a former Senator from California.
24	Beatrice Willard served as an aide to President Richard Milhous Nixon, a former Senator from California.
25	The MV Bessel ran aground at the second largest island in the Mediterranean in 1972.
26	The MV Bessel ran aground at the second largest island in the Mediterranean in summer of 1972.
27	The American film, television and theater actress who was a star in the film the Matchmaker and also received the 40th AFI Life Achievement Award was born April 24, 1934.
28	JSOC was created on the recommendation of a colonel who served in the Malayan Emergency and Vietnam War.
29	The American cable and satellite television channel that April "Ape" Margera appears upon is owned by Viacom Media Networks.
30	Substorm was described in qualitative terms by a scientist nominated for Nobel Prize seven times.
31	"HMS "Sussex" was an 80-gun third-rate ship, of the line of the English Royal Navy, for the Kingdom of England on the island of Great Britain from the 10th century—when it emerged from various Anglo-Saxon kingdoms—until 1707, when it united with Scotland to form the Kingdom of Great Britain.
