question,example_answer,gold_titles,rationale,pred_answer,context,correct
Are both Cangzhou and Qionghai in the Hebei province of China?,no,"{'Cangzhou', 'Qionghai'}","determine whether both Cangzhou and Qionghai are located in the Hebei province of China. 

First, we analyze the context provided for Cangzhou. The text states that Cangzhou is a prefecture-level city in eastern Hebei province, People's Republic of China. This confirms that Cangzhou is indeed in Hebei province.

Next, we examine the context for Qionghai. The text indicates that Qionghai is one of the seven county-level cities of Hainan province, China. This clearly states that Qionghai is located in Hainan province, not Hebei.

Since Cangzhou is in Hebei province and Qionghai is in Hainan province, we can conclude that they are not both in the same province.",no,"['Cangzhou | ""Cangzhou Cangzhou () is a prefecture-level city in eastern Hebei province, People\'s Republic of China. At the 2010 census, Cangzhou\'s built-up (""""or metro"""") area made of Yunhe, Xinhua districts and Cang County largely being conurbated had a population of 1,205,814 inhabitants, while the prefecture-level administrative unit in total has a population of 7,134,062. It lies approximately from the major port city of Tianjin, and from Beijing. Cangzhou is reported to have been founded in the Southern and Northern Dynasties period (420−589 CE). Cangzhou City comprises 2 districts, 4 county-level cities, 9 counties and 1 autonomous county. Cangzhou\'s urban center is""', 'Cangzhou | ""a heavily industrial city but the city\'s administrative territory also includes strongly agricultural areas, and is well known in China for its Chinese jujubes (Chinese dates) and pear (widely known under the export name of """"Tianjin Ya Pear""""). The North China Oil Field is within Cangzhou City\'s jurisdiction. Cangzhou also encompasses a large fishing port and the coal-exporting Huanghua Harbour. Cangzhou is located in eastern Hebei, immediately to the south of Tianjin, near the coast of the Bohai Sea of the Pacific Ocean. Bordering prefecture-level cities are Hengshui to the southwest, Baoding to the west, and Langfang to the north.""', 'Qionghai | ""Qionghai Qionghai () is one of the seven county-level cities of Hainan province, China. Although called a """"city"""", Qionghai refers to a large land area in Hainan - an area which was once a county. Within this area is the main city, Qionghai City. It is located in the east of the island at the mouth of the Wanquan River, from the provincial capital of Haikou. It has an area of and in 2010, it had a population of 483,217. The seat of government is at Jiaji (), often now referred to simply as Qionghai. Bo\'ao, seat of the Boao""', 'Qionghai | ""is Jiaji Duck, originally introduced to Qionghai by locals who returned from living in Southeast Asia. Qionghai Qionghai () is one of the seven county-level cities of Hainan province, China. Although called a """"city"""", Qionghai refers to a large land area in Hainan - an area which was once a county. Within this area is the main city, Qionghai City. It is located in the east of the island at the mouth of the Wanquan River, from the provincial capital of Haikou. It has an area of and in 2010, it had a population of 483,217. The seat of government""']",1.0
Who conducts the draft in which Marc-Andre Fleury was drafted to the Vegas Golden Knights for the 2017-18 season?,National Hockey League,"{'2017 NHL Expansion Draft', '2017–18 Pittsburgh Penguins season'}","determine who conducts the draft in which Marc-Andre Fleury was drafted to the Vegas Golden Knights. The context mentions the ""2017 NHL Expansion Draft,"" which is the specific draft event where Fleury was selected. The NHL (National Hockey League) is the governing body that conducts this draft. Therefore, we can conclude that the NHL conducts the draft in which Marc-Andre Fleury was drafted to the Vegas Golden Knights.",NHL,"['""Marc-André Fleury"" | ""route to a Stanley Cup championship victory, defeating the Nashville Predators in six games. The win was the third Stanley Cup of Fleury\'s career. On June 21, 2017, with the emergence of Matt Murray, Fleury was left exposed by the Penguins and later selected by the Vegas Golden Knights in the 2017 NHL Expansion Draft. He stopped 45 of 46 shots in the Golden Knights\' first NHL game, a 2–1 victory over the Dallas Stars. On October 15, 2017, Fleury was placed on Long Term Injury Reserve (LTIR) after taking a knee to the head from Anthony Mantha of the""', '""Vegas Golden Knights"" | ""move by signing Reid Duke to a three-year entry-level contract. The team announced inaugural head coach Gerard Gallant on April 13, 2017. Over the next two months, the Golden Knights developed their farm system, announcing affiliations with the Chicago Wolves of the American Hockey League and the Quad City Mallards of the ECHL. The team participated in the 2017 NHL Expansion Draft on June 21, 2017, selecting an available player from all 30 teams in the NHL. The draft picks were announced at T-Mobile Arena during the NHL Awards ceremony. Some notable selections included goalie Marc-Andre Fleury from the Pittsburgh""', '""Expansion draft"" | ""prone, failing to develop as the teams had intended, or perhaps so highly compensated that a team wishes to remove them from the payroll. For this reason, expansion teams are often noncompetitive in their early years in a league, although the advent of the free agent system has modified this somewhat. Marc-André Fleury, who won three Stanley Cups with the Pittsburgh Penguins, is a notable exception of a star player in their prime being left exposed in an expansion draft, being made available for the Vegas Golden Knights in the 2017 NHL Expansion Draft after Fleury was made expendable due""']",0.0
"The Wings entered a new era, following the retirement of which Canadian retired professional ice hockey player and current general manager of the Tampa Bay Lightning of the National Hockey League (NHL)?",Steve Yzerman,"{'Steve Yzerman', '2006–07 Detroit Red Wings season'}","determine the answer to the question. The context mentions Steve Yzerman, who is a Canadian retired professional ice hockey player and the current general manager of the Tampa Bay Lightning. It also states that Yzerman announced his retirement after a 23-season career with the Detroit Red Wings. Since the question asks for the player whose retirement marked the beginning of a new era for the Wings, we can conclude that the answer is Steve Yzerman.",Steve Yzerman,"['""2010–11 Tampa Bay Lightning season"" | ""2010–11 Tampa Bay Lightning season The 2010–11 Tampa Bay Lightning season was the 19th season for the Lightning franchise of the National Hockey League (NHL). For the first time since the 2006–07 season, the Lightning qualified for the playoffs. On May 25, 2010, the Lightning announced Hall of Fame player and former Detroit Red Wings executive Steve Yzerman as their new general manager. He hired Guy Boucher, coach of the American Hockey League (AHL)\'s Hamilton Bulldogs, as the new head coach on June 9, 2010. In October, the Lightning compiled a 7–2–1 record and with 15 points, leading not only""', '""Steve Yzerman"" | ""the Detroit Red Wings, winning a fourth Stanley Cup championship as the vice-president of operations in 2007–08. In May 2010, he left the Red Wings organization to become general manager of the Tampa Bay Lightning, serving in that capacity until September 2018. Yzerman has represented his country in several international tournaments as a member of Canada\'s national hockey team (Team Canada). In 2002, Yzerman won an Olympic gold medal, making him one of few players to win an Olympic gold medal and the Stanley Cup in the same year. Yzerman was the general manager of Team Canada for the 2007""', '""History of the Detroit Red Wings"" | ""to take the series. Continuing the shakeup of the Red Wings roster, the off-season saw the departure of Brendan Shanahan and the return of Dominik Hasek, while Steve Yzerman announced his retirement after a 23-season Hall of Fame-caliber career with the Wings, at the time having played the second most games in history all with a single team (behind fellow Red Wing Alex Delvecchio and later also surpassed by Nicklas Lidstrom). Yzerman retired with the additional distinction of having been the longest-serving team captain in NHL history. The Red Wings opened the 2006–07 season with Nicklas Lidstrom as the new""', '""Detroit Red Wings"" | ""the Red Wings retired was No. 9 in 1972 in honor of Gordie Howe, who played right wing for the team from 1946 to 1971. Howe won both the Art Ross Trophy and the Hart Memorial Trophy six times each and won the Stanley Cup as a Red Wing four times. In 2007, the Red Wings retired Steve Yzerman\'s No. 19. During Yzerman\'s career, he won the Bill Masterton Memorial Trophy, the Conn Smythe Trophy, the Frank J. Selke Trophy, the Lester Patrick Trophy, and the Ted Lindsay Award. Yzerman served as Detroit\'s captain for 19 seasons, an NHL record,""']",1.0
What river is near the Crichton Collegiate Church?,the River Tyne,"{'Crichton Collegiate Church', 'Crichton Castle'}","determine the answer to the question regarding the river near Crichton Collegiate Church. The context provided does not mention any specific river associated with the church or its location. It primarily describes the church's location in relation to roads and nearby landmarks, such as Crichton Castle and the hamlet of Crichton. Since there is no information about a river in the context, we cannot conclude that there is a specific river near Crichton Collegiate Church based on the provided details.",The context does not provide information about a river near Crichton Collegiate Church.,"['""Crichton Collegiate Church"" | ""Crichton Collegiate Church Crichton Collegiate Church is situated about south west of the hamlet of Crichton in Midlothian, Scotland. Crichton itself is west of Pathhead and south of Scotland\'s capital city, Edinburgh. The church is reached by leaving the A68 road at the north end of Pathhead and turning on to the B6367 minor road at Crichton on a single track lane signposted Crichton Castle. Before reaching the castle car park, on the left, is the church, situated at . Crichton Church was founded on 26 December 1449 by William Crichton, 1st Lord Crichton, Lord Chancellor of Scotland """"""""Out of""', '""Crichton Collegiate Church"" | ""and is available for visiting. Crichton is category A listed building. Crichton Collegiate Church Crichton Collegiate Church is situated about south west of the hamlet of Crichton in Midlothian, Scotland. Crichton itself is west of Pathhead and south of Scotland\'s capital city, Edinburgh. The church is reached by leaving the A68 road at the north end of Pathhead and turning on to the B6367 minor road at Crichton on a single track lane signposted Crichton Castle. Before reaching the castle car park, on the left, is the church, situated at . Crichton Church was founded on 26 December 1449 by""']",0.15384615384615385
In the 10th Century A.D. Ealhswith had a son called Æthelweard by which English king?,King Alfred the Great,"{'Ealhswith', 'Æthelweard (son of Alfred)'}","determine the answer to the question regarding Ealhswith's son Æthelweard. The context provides information about Æthelweard, stating that he was the younger son of King Alfred the Great and Ealhswith. Since the question specifically asks which English king was Ealhswith's husband and the father of Æthelweard, we can conclude that the answer is King Alfred the Great.",King Alfred the Great,"['""Æthelheard, king of the Hwicce"" | ""Æthelheard, king of the Hwicce Æthelheard, King of Hwicce (an Anglo Saxon kingdom in the English midlands) jointly with his presumed brothers Æthelweard, Æthelberht, and Æthelric. It is probable that they were all sons of Oshere, although the paternity of Æthelheard and Æthelberht is not explicitly stated in surviving documents. In 692, together with Æthelweard, issued a charter to Abbess Cuthswith, and also witnessed a charter of Æthelred, King of Mercia, together with Æthelweard, Æthelberht, and Æthelric. In 693 the four brothers witnessed a charter issued by their father Oshere. The only time that he is styled """"rex"""" appears to""', '""Æthelstan"" | ""has also been hailed as the first king of England, as a statesman of international standing"""". David Dumville describes Æthelstan as """"the father of mediaeval and modern England"""", while Michael Wood regards Offa, Alfred, and Æthelstan as the three greatest Anglo-Saxon kings, and Æthelstan as """"one of the more important lay intellectuals in Anglo-Saxon history"""". Æthelstan is regarded as the first King of England by some modern historians. Although it was Eadred who would achieve the final unification of England by the permanent conquest of Viking York, Æthelstan\'s campaigns made this success possible. His nephew Edgar called himself King of""', '""Æthelweard (son of Alfred)"" | ""Æthelweard (son of Alfred) Æthelweard (d. 920 or 922) was the younger son of King Alfred the Great and Ealhswith. He was born about 880. That he was Alfred\'s younger son by Ealhswith is stated by Asser in his biography of the king ( 893). Asser also provides valuable detail on the boy\'s upbringing. Whereas his brother Edward and sister Ælfthryth were raised and educated at court, Æthelweard was sent to a type of school (""""schola""""), where he learned to read and write both Latin and Old English and was instructed in the liberal arts """"under the attentive care of""', '""Æthelstan of Kent"" | ""Æthelstan of Kent Æthelstan (; died c. 852), the eldest son of King Æthelwulf of Wessex, was the King of Kent from 839 under the authority of his father. The late D, E and F versions of the """"Anglo-Saxon Chronicle"""" describe Æthelstan as Æthelwulf\'s brother, but the A, B and C versions, and Æthelweard\'s """"Chronicon"""", state that he was Æthelwulf\'s son. Some historians have argued that it is more probable that he was a brother, including Eric John in 1966 and Ann Williams in 1978. However, in 1991 Ann Williams described him as Æthelwulf\'s son, and this is now generally""']",1.0
The Newark Airport Exchange is at the northern edge of an airport that is operated by whom?,Port Authority of New York and New Jersey,"{'Newark Liberty International Airport', 'Newark Airport Interchange'}","determine who operates Newark Liberty International Airport. The context provides information about the airport, stating that it is owned jointly by the cities of Elizabeth and Newark and is leased to and operated by the Port Authority of New York and New Jersey. Therefore, the answer to the question is that the Newark Airport Exchange is at the northern edge of an airport that is operated by the Port Authority of New York and New Jersey.",Port Authority of New York and New Jersey,"['""Newark Liberty International Airport Station"" | ""The station opened on October 21, 2001. It is owned by the Port Authority of New York and New Jersey (PANYNJ), the airport\'s operator, and therefore has a different design than NJT and Amtrak stations, especially the signage, which is the same as used throughout the airport. The Port Authority originally intended to name the station """"Newark Airport"""" but changed it to """"Newark Liberty International Airport"""" after the airport\'s renaming, which honors the victims of the September 11 attacks and the proximity of the airport to the Statue of Liberty. On the NEC, it is a 6-minute trip to Newark\'s""', '""Newark Liberty International Airport"" | ""Newark Liberty International Airport Newark Liberty International Airport , originally Newark Metropolitan Airport and later Newark International Airport, is the primary airport serving the U.S. state of New Jersey, and the secondary international airport serving New York City. The airport straddles the boundary between the cities of Newark and Elizabeth, the former of which is the most populous city in the state. The airport is owned jointly by the cities of Elizabeth and Newark and leased to and operated by the Port Authority of New York and New Jersey. Newark Airport is located northeast of Philadelphia, west of New York""', '""Transportation in New Jersey"" | ""and fifth-busiest international air gateway in the United States. Newark Liberty is operated by the Port Authority of New York and New Jersey, which manages the other two major airports in the New York metropolitan area, John F. Kennedy International Airport (JFK) and LaGuardia Airport (LGA), along with three smaller airports including Teterboro Airport. It is about southwest of Midtown Manhattan (New York City). In addition to domestic flights, Newark Liberty has extensive international service covering all inhabited continents except for Oceania. United Airlines operates its third-largest hub at the facility, after O\'Hare International Airport in Chicago, and George W.""']",1.0
Where did an event take place resulting in a win during a domestic double due to the action of a Peruvian footballer known for his goal scoring ability?,Bundesliga,"{'2005–06 FC Bayern Munich season', 'Claudio Pizarro'}","determine the location of the event that resulted in a win during a domestic double involving a Peruvian footballer known for his goal-scoring ability. 

First, we need to identify the context provided. The first excerpt mentions that in Peru, there is no national cup, and the Peruvian Primera División is the only national football competition. This suggests that any significant football events, including those leading to a domestic double, would occur within this league.

Next, we look for a specific Peruvian footballer known for his goal-scoring ability. The third excerpt highlights Paolo Guerrero as the top goalscorer for the Peru national football team, with 35 goals in 91 appearances. This indicates that he is a prominent figure in Peruvian football, known for his scoring prowess.

However, the context does not specify a particular event or match where Guerrero's actions led to a win in a domestic double. It primarily discusses the structure of football competitions in Peru and mentions Guerrero's scoring record without detailing a specific game or location.

Given this analysis, we can conclude that while we have identified Paolo Guerrero as a notable goal scorer, the context does not provide enough information to pinpoint a specific event or location related to a domestic double win.

Therefore, the answer to the question is that the context does not provide sufficient information to determine the exact location of the event.",The context does not provide sufficient information to determine the exact location of the event.,"['""Double (association football)"" | ""there is no national cup; the Ecuadorian Serie A is the only national football competition in the country. In Paraguay, there is no national cup; the Paraguayan Primera División is the only national football competition in the country. In Peru, is no national cup; the Peruvian Primera División is the only national football competition in the country. In Uruguay, three teams have won the Double of the Uruguayan Primera División and the Copa de Competencia (defunct). To complete the double, a club must win the Venezuelan Primera División and the Copa Venezuela. In American Samoa, two teams have won the""', '""2017 Copa Perú"" | ""two games played at the Estadio Nacional. The team with the most points will be declared the winner and be promoted to the 2018 Torneo Descentralizado. The runner-up will be promoted to the 2018 Peruvian Segunda División. The draw for this stage of the tournament took place on 28 November 2017 at the Peruvian Football Federation\'s headquarters. 2017 Copa Perú The 2017 Peru Cup season (), the largest amateur tournament of Peruvian football, started in February. This edition has featured a change, with the elimination of the Regional Stage and the inclusion of participants from all the Regions of Peru""', '""Peru national football team"" | ""top goalscorer is Paolo Guerrero, with 35 goals in 91 appearances. He is followed by Teófilo Cubillas, who scored 26 goals in 81 appearances, and Jefferson Farfán, with 25 goals in 86 games. Teodoro Fernández, with 24 goals in 32 games, holds the best goal-per-appearance record out of the country\'s top 10 scorers. Claudio Pizarro scored Peru\'s fastest goal, less than a minute into the match against Mexico on 20 August 2003. Peru\'s current captain is forward Paolo Guerrero. Midfielder Leopoldo Basurto was the team\'s first captain. Defender Héctor Chumpitaz held the Peruvian team\'s leadership position for the longest time,""', '""Peru 4–2 Austria (1936 Summer Olympics association football)"" | ""action, Klement Steinmetz put a ball past Peruvian keeper Juan Valdivieso to double Austria\'s early lead. After 45 minutes of play, the scoreline was 0–2 in favour of the Austrians. Trailing 0–2, with elimination from the tournament at stake, the Peruvians entered the second half with renewed determination to extend their Olympic stint. In the 75th minute, the Peruvians scored their first goal through Jorge Alcalde. Six minutes later, in the 81st minute of play, Alejandro Villanueva scored the equalizer. The remaining minutes of the match saw no further scoring, and the match went into extra-time. The match was highly""']",0.0
Are both Chico Municipal Airport and William R. Fairchild International Airport in California?,no,"{'William R. Fairchild International Airport', 'Chico Municipal Airport'}","determine whether both Chico Municipal Airport and William R. Fairchild International Airport are located in California. 

First, we examine the context for William R. Fairchild International Airport. The text states that it is located in Port Angeles, Clallam County, Washington, United States. This indicates that William R. Fairchild International Airport is not in California.

Next, we look at the context for Chico Municipal Airport. The text specifies that it is located north of Chico, in Butte County, California. This confirms that Chico Municipal Airport is indeed in California.

Since William R. Fairchild International Airport is in Washington and Chico Municipal Airport is in California, we can conclude that they are not both located in California.",No,"['""William R. Fairchild International Airport"" | ""William R. Fairchild International Airport William R. Fairchild International Airport not to be confused with Fairchild_Air_Force_Base is a public airport located within the city limits of Port Angeles, in Clallam County, Washington, United States. It lies northwest of the central business district of Port Angeles, near the Strait of Juan de Fuca. The airport is owned by the Port of Port Angeles. The airport was developed from 1934 through 1948 by the Works Progress Administration, the U.S. Army and the U.S. Navy. It was named Clallam County Municipal Landing Field when ownership was given to Clallam County in 1948. Three""', '""William R. Fairchild International Airport"" | ""operations, an average of 155 per day: 89% general aviation, 11% air taxi, and <1% military. At that time there were 85 aircraft based at this airport: 92% single-engine, 6% multi-engine and 2% helicopter. Fairchild Airport is also home to Port Angeles\' Civil Air Patrol squadron. William R. Fairchild International Airport William R. Fairchild International Airport not to be confused with Fairchild_Air_Force_Base is a public airport located within the city limits of Port Angeles, in Clallam County, Washington, United States. It lies northwest of the central business district of Port Angeles, near the Strait of Juan de Fuca. The airport""', '""Chico Municipal Airport"" | ""Chico Municipal Airport Chico Municipal Airport , often called CMA, is north of Chico, in Butte County, California. The airport covers , has two runways and one helipad; its fixed-base operator, , provides fuel, maintenance, flight training, and charter flights. The airport has seen airline jets, but no passenger airline serves Chico since United Express ended flights to San Francisco. Airlines at Chico were American Airlines regional affiliate American Eagle, Hughes Airwest, Pacific Express, Reno Air Express and WestAir operating as United Express. Southwest Airways and its successors provided the only airline service into Chico from 1947 until June 1979.""', '""Chico Municipal Airport"" | ""signed a lease with the Chico Municipal Airport Chico Municipal Airport , often called CMA, is north of Chico, in Butte County, California. The airport covers , has two runways and one helipad; its fixed-base operator, , provides fuel, maintenance, flight training, and charter flights. The airport has seen airline jets, but no passenger airline serves Chico since United Express ended flights to San Francisco. Airlines at Chico were American Airlines regional affiliate American Eagle, Hughes Airwest, Pacific Express, Reno Air Express and WestAir operating as United Express. Southwest Airways and its successors provided the only airline service into Chico""']",1.0
In which Maine county is Fort Pownall located?,"Waldo County, Maine","{'Stockton Springs, Maine', 'Fort Pownall'}","determine the county in which Fort Pownall is located. The context provides information about Fort Pownall, stating that it is located at Fort Point State Park in Stockton Springs, Maine. Further examination of the context reveals that Stockton Springs is mentioned as being in Waldo County, Maine. Therefore, we can conclude that Fort Pownall is located in Waldo County.",Waldo County,"['""Fort Pownall"" | ""Fort Pownall Fort Pownall was a British fortification built during the French and Indian War, whose remains are located at Fort Point State Park in Stockton Springs, Maine. The fort was named for Governor Thomas Pownall, who oversaw its construction. It never saw action, and was destroyed during the American Revolutionary War by the actions of both colonists and the British military to prevent its further use. The fort\'s remains were listed on the National Register of Historic Places in 1969. Fort Point State Park is located at the easternmost tip of Cape Jellison, a triangular peninsula which juts into""', '""Fort Pownall"" | ""star-shaped earthworks surrounded by a moat or ditch wide and deep. Inside the earthworks was a blockhouse, built out of squared timbers, measuring on each side, and two stories in height. At each corner there was a diamond-shaped projection, where each side was . Because the blockhouse and other wooden elements of the fort were burned, only the earthworks and stone foundations remain. Fort Pownall Fort Pownall was a British fortification built during the French and Indian War, whose remains are located at Fort Point State Park in Stockton Springs, Maine. The fort was named for Governor Thomas Pownall, who""', '""Stockton Springs, Maine"" | ""Stockton Springs, Maine Stockton Springs is a town in Waldo County, Maine, United States. The population was 1,591 at the 2010 census. Stockton Springs is home to Fort Point State Park and Fort Point Light, both located on Fort Point, a peninsula on Cape Jellison. Part of the Waldo Patent, it was first settled about 1759, the year Governor Thomas Pownall completed Fort Pownall on Fort Point. The defense was intended to guard the mouth of the Penobscot River estuary during the French and Indian War. Fort Pownall was burned in 1775 and 1779 by the British themselves, to prevent""', '""Stockton Springs, Maine"" | ""median income for a family was $42,847. Males had a median income of $34,886 versus $23,750 for females. The per capita income for the town was $18,370. About 8.5% of families and 12.1% of the population were below the poverty line, including 18.8% of those under age 18 and 6.5% of those age 65 or over. Stockton Springs, Maine Stockton Springs is a town in Waldo County, Maine, United States. The population was 1,591 at the 2010 census. Stockton Springs is home to Fort Point State Park and Fort Point Light, both located on Fort Point, a peninsula on Cape""']",0.8
"Which 90s rock band has more recently reformed, Gene or The Afghan Whigs?",The Afghan Whigs,"{'The Afghan Whigs', 'Gene (band)'}","determine which band has more recently reformed. The context provides information about both bands. 

1. **The Afghan Whigs**: The context states that they were originally active from 1986 to 2001 and have since reformed. It mentions their first new recording released during the 2012 reformation, indicating that they reformed in 2012.

2. **Gene**: The context does not provide specific information about when Gene reformed, but it primarily discusses their activities in the 1990s and does not mention a recent reformation.

Since the context explicitly states that The Afghan Whigs reformed in 2012 and does not provide any information about Gene reforming, we can conclude that The Afghan Whigs are the band that has more recently reformed.",The Afghan Whigs,"['""The Afghan Whigs"" | ""felt less like an easy nostalgia trip than a reminder of problems we, perhaps selectively, forgot we ever had. …Leader Greg Dulli was leaner, meaner, fitter, and in better voice at 47 than even during the band\'s heyday… From the opening strains of """"Crime Scene, Part One,"""" all the old drama and menace and hurt feelings and failings were right there, palpable and visceral, all couched in the equally palpable sense of relief that none of us are that fucked up anymore."""" The Afghan Whigs\' first new recording released during the 2012 reformation, """"See and Don\'t See,"""" has also received""', '""The Afghan Whigs"" | ""The Afghan Whigs The Afghan Whigs are an American rock band from Cincinnati, Ohio, United States. Originally active from 1986 to 2001, they have since reformed. The group – with core members Greg Dulli (vocals, rhythm guitar), Rick McCollum (lead guitar), and John Curley (bass) – rose up around the grunge movement, evolving from a garage band in the vein of the Replacements to incorporate more R&B and soul influences into their sound and image. After releasing their first album independently in 1988, the band signed to the Seattle-based label Sub Pop. They released their major-label debut and fourth album,""', '""Gene (band)"" | ""1 August 1994 via Costermonger. """"Melody Maker"""" awarded """"Be My Light Be My Guide"""" its """"Single Of The Week"""". After achieving the top spot in the UK indie chart and number 54 in the UK Singles Chart, the band played their first UK headlining tour that included a show at London\'s Paradise Club which sold out immediately, cramming 800 people into the venue. The plaudits had not gone unnoticed by the big record companies and Gene eventually signed a deal with Polydor Records. For many observers, this was to prove a turning point for the band. After a successful appearance""', '""Gene (band)"" | ""a foray into the USA. With Christmas looming, the band entered the studio again for pre-production on their new album, scheduled for release the following year. 1996 began with a remixed \'For the Dead\' which subsequently became Gene\'s biggest hit (peaking at number 14 in the Top 40), leading to their debut appearance on """"Top of the Pops"""". """"To See The Lights"""", an LP of rarities, live tracks, radio sessions and acoustic versions of singles, was released in January and reached the number 11 spot in the album charts. A national tour was undertaken during most of the same month,""']",1.0
